Liczby dziesiętne    |   liczby trójkowe    |   liczby dwunastkowe
-------------------------------------------------------------------
1                    |          1           |                    1
2                    |          2           |                    2
3                    |          10          |                    3
4                    |          11          |                    4
-2                   |          2-          |                   2-
6                    |          20          |                    6
7                    |          21          |                    7
8                    |          22          |                    8
22                   |         211          |                   1A
10                   |         101          |                    A
11                   |         102          |                    B
12                   |         110          |                   10
13                   |         111          |                   11
14                   |         112          |                   12
15                   |         120          |                   13
16                   |         121          |                   14
17                   |         122          |                   15
18                   |         200          |                   16
19                   |         201          |                   17
20                   |         202          |                   18
21                   |         210          |                   19
22                   |         211          |                   1A
23                   |         212          |                   1B
24                   |         220          |                   20
25                   |         221          |                   21
26                   |         222          |                   22
27                   |         1000         |                   23
28                   |         1001         |                   24
29                   |         1002         |                   25
30                   |         1010         |                   26
31                   |         1011         |                   27
32                   |         1012         |                   28
33                   |         1020         |                   29
34                   |         1021         |                   2A
35                   |         1022         |                   2B
36                   |         1100         |                   30
37                   |         1101         |                   31
38                   |         1102         |                   32
39                   |         1110         |                   33
40                   |         1111         |                   34
41                   |         1112         |                   35
42                   |         1120         |                   36
43                   |         1121         |                   37
44                   |         1122         |                   38
45                   |         1200         |                   39
46                   |         1201         |                   3A
47                   |         1202         |                   3B
48                   |         1210         |                   40
49                   |         1211         |                   41
50                   |         1212         |                   42
51                   |         1220         |                   43
52                   |         1221         |                   44
53                   |         1222         |                   45
54                   |         2000         |                   46
55                   |         2001         |                   47
56                   |         2002         |                   48
57                   |         2010         |                   49
58                   |         2011         |                   4A
59                   |         2012         |                   4B
60                   |         2020         |                   50
61                   |         2021         |                   51
62                   |         2022         |                   52
63                   |         2100         |                   53
64                   |         2101         |                   54
65                   |         2102         |                   55
66                   |         2110         |                   56
67                   |         2111         |                   57
68                   |         2112         |                   58
69                   |         2120         |                   59
70                   |         2121         |                   5A
71                   |         2122         |                   5B
72                   |         2200         |                   60
73                   |         2201         |                   61
74                   |         2202         |                   62
75                   |         2210         |                   63
76                   |         2211         |                   64
77                   |         2212         |                   65
78                   |         2220         |                   66
79                   |         2221         |                   67
80                   |         2222         |                   68
81                   |        10000         |                   69
82                   |        10001         |                   6A
83                   |        10002         |                   6B
84                   |        10010         |                   70
85                   |        10011         |                   71
86                   |        10012         |                   72
87                   |        10020         |                   73
88                   |        10021         |                   74
89                   |        10022         |                   75
90                   |        10100         |                   76
91                   |        10101         |                   77
92                   |        10102         |                   78
93                   |        10110         |                   79
94                   |        10111         |                   7A
95                   |        10112         |                   7B
96                   |        10120         |                   80
97                   |        10121         |                   81
98                   |        10122         |                   82
99                   |        10200         |                   83
100                  |        10201         |                   84
