"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
9,012638000E-3;3,059000015E0;5,895999908E0;6,967000008E0;9,625974502E0
1,150186900E-2;3,108999968E0;5,867000103E0;6,919000149E0;9,589584666E0
1,399110000E-2;3,092000008E0;5,797999859E0;6,993000031E0;9,595796780E0
1,648003200E-2;3,151999950E0;5,777999878E0;7,093999863E0;9,677046054E0
1,896918600E-2;3,096999884E0;5,656000137E0;7,190000057E0;9,658045695E0
2,145810900E-2;3,138000011E0;5,658999920E0;7,360000134E0;9,800047251E0
2,394703200E-2;3,042000055E0;5,540999889E0;7,323999882E0;9,674575876E0
2,643603200E-2;3,071000099E0;5,532000065E0;7,314000130E0;9,671021881E0
2,892495900E-2;3,045000076E0;5,521999836E0;7,372000217E0;9,701076995E0
3,141419000E-2;3,059000015E0;5,480999947E0;7,353000164E0;9,667753251E0
3,390311300E-2;3,010999918E0;5,507999897E0;7,460000038E0;9,749655581E0
3,639234400E-2;3,096999884E0;5,456999779E0;7,421999931E0;9,718865049E0
3,888151200E-2;3,042000055E0;5,480999947E0;7,488999844E0;9,766280940E0
4,137043500E-2;3,132999897E0;5,435999870E0;7,611000061E0;9,863726723E0
4,385935800E-2;3,121000051E0;5,477000237E0;7,762000084E0;9,999340889E0
4,634828100E-2;3,131000042E0;5,532000065E0;7,785999775E0;1,005126751E1
4,883697300E-2;3,154999971E0;5,500999928E0;7,793000221E0;1,004718256E1
5,132613700E-2;3,107000113E0;5,467000008E0;7,797999859E0;1,001750171E1
5,381482900E-2;3,132999897E0;5,461999893E0;7,822000027E0;1,004155444E1
5,630375200E-2;3,171999931E0;5,500999928E0;7,744999886E0;1,001536854E1
5,879290600E-2;3,042000055E0;5,445000172E0;7,776000023E0;9,968348287E0
6,128182900E-2;3,071000099E0;5,513000011E0;7,785999775E0;1,002227535E1
6,377084300E-2;2,973000050E0;5,473999977E0;7,802999973E0;9,984498667E0
6,625999700E-2;2,913000107E0;5,409999847E0;7,699999809E0;9,851074309E0
6,874922800E-2;2,805000067E0;5,433000088E0;7,763999939E0;9,882571041E0
7,123822800E-2;2,701999903E0;5,405000210E0;7,692999840E0;9,782488297E0
7,372738200E-2;2,694999933E0;5,389999866E0;7,618000031E0;9,713343794E0
7,621663100E-2;2,776000023E0;5,382999897E0;7,627999783E0;9,740084430E0
7,870563100E-2;2,756999969E0;5,356999874E0;7,367000103E0;9,516889565E0
8,119478400E-2;2,687999964E0;5,461999893E0;7,281000137E0;9,490613765E0
8,368401500E-2;2,640000105E0;5,473999977E0;7,302000046E0;9,500183207E0
8,617324600E-2;2,622999907E0;5,370999813E0;7,216000080E0;9,370081358E0
8,866226000E-2;2,555999994E0;5,337999821E0;7,172999859E0;9,299424984E0
9,115141400E-2;2,474999905E0;5,388000011E0;7,330999851E0;9,428665201E0
9,364041400E-2;2,536999941E0;5,329999924E0;7,190000057E0;9,302761349E0
9,612964500E-2;2,515000105E0;5,258999825E0;7,051000118E0;9,148710693E0
9,861879800E-2;2,427000046E0;5,280000210E0;6,972000122E0;9,076206098E0
1,011078130E-1;2,464999914E0;5,289999962E0;7,007999897E0;9,119889623E0
1,035972750E-1;2,404999971E0;5,366000175E0;7,007999897E0;9,148226347E0
1,060862750E-1;2,489000082E0;5,315999985E0;7,024000168E0;9,153772752E0
1,085755060E-1;2,361999989E0;5,282999992E0;6,875999928E0;8,987130124E0
1,110646600E-1;2,507999897E0;5,242000103E0;6,758999825E0;8,913624807E0
1,135538850E-1;2,486999989E0;5,322999954E0;6,705999851E0;8,915712617E0
1,160428850E-1;2,418999910E0;5,363999844E0;6,610000134E0;8,849641612E0
1,185320390E-1;2,517999887E0;5,322999954E0;6,452000141E0;8,735156425E0
1,210212700E-1;2,543999910E0;5,394999981E0;6,359000206E0;8,718649205E0
1,235102700E-1;2,648999929E0;5,370999813E0;6,540999889E0;8,868456414E0
1,259997360E-1;2,736000061E0;5,426000118E0;6,584000111E0;8,959700390E0
1,284889660E-1;2,709000111E0;5,433000088E0;6,577000141E0;8,950592294E0
1,309782740E-1;2,719000101E0;5,510000229E0;6,719999790E0;9,105573088E0
1,334675050E-1;2,697000027E0;5,393000126E0;6,866000175E0;9,137845365E0
1,359567360E-1;2,703999996E0;5,388000011E0;6,968999863E0;9,214614435E0
1,384459040E-1;2,687999964E0;5,291999817E0;6,942999840E0;9,134322780E0
1,409351350E-1;2,673000097E0;5,175000191E0;7,250000000E0;9,299895510E0
1,434243660E-1;2,709000111E0;5,196000099E0;7,203999996E0;9,286264834E0
